"","Player","Team","Season","Position","Minutes","Goals Added"
"","Rodrigo Saravia","CLB","2016","CB","251","-0.22"
"","Lucas Melano","POR","2019","ST","170","-0.22"
"","Ethen Sampson","VAN","2014","FB","157","-0.22"
"","Jørgen Skjelvik","LAG","2018","CB","2821","-0.22"
"","Leonardo","LAG","2016","CB","387","-0.22"
"","Richard Balchan","RSL","2014","FB","251","-0.22"
"","Marvin Iraheta","CHV","2013","CM","623","-0.22"
"","Jalil Anibaba","HOU","2017","CB","519","-0.23"
"","Marquinhos Pedroso","DCU, FCD","2019","FB","438","-0.23"
"","Diego Calderón","COL","2013","CB","331","-0.23"
"","Bernie Ibini-Isei","VAN","2018","W","459","-0.23"
"","Anatole Bertrand-Abang","NYRB","2016","ST","266","-0.23"
"","José Erick Correa","CHV","2013","ST","1145","-0.24"
"","Erik Palmer-Brown","SKC","2014","CB","261","-0.24"
"","Eric Miller","MIN, NYC","2019","FB","840","-0.24"
"","Danny Leyva","SEA","2019","DM","472","-0.24"
"","Ashtone Morgan","TOR","2019","FB","362","-0.25"
"","Dimitry Imbongo Boele","NER","2014","ST","43","-0.25"
"","Miles Robinson","ATL","2018","CB","334","-0.26"
"","Cristhian Machado","NER","2018","DM","134","-0.26"
"","Patrice Bernier","MTL","2016","CM","1280","-0.26"
"","Jason Hernandez","SJE","2013","CB","1819","-0.26"
"","Logan Emory","TOR","2013","FB","245","-0.26"
"","Jaime Villarreal","LAG","2017","DM","415","-0.26"
"","Peterson Joseph","SKC","2013","CM","1302","-0.27"
"","Diego Rodríguez","VAN","2015","CB","283","-0.27"
"","Pa Modou Kah","VAN","2016","CB","429","-0.27"
"","Soni Mustivar","SKC","2017","CM","328","-0.27"
"","Mike Grella","NYRB","2017","W","394","-0.28"
"","Elías Vásquez","RSL","2015","CB","1379","-0.28"
"","Ken Krolicki","MTL","2019","CM","593","-0.28"
"","Adam Henley","RSL","2018","FB","287","-0.28"
"","Aarón Guillén","FCD","2016","FB","119","-0.29"
"","Tristan Blackmon","LAFC","2018","FB","575","-0.30"
"","David Estrada","SEA","2013","ST","576","-0.30"
"","Mike Fucito","SJE","2014","ST","132","-0.31"
"","Hadji Barry","ORL","2016","W","332","-0.32"
"","Kyle Bekker","MTL","2016","DM","1239","-0.32"
"","David Horst","RSL","2018","CB","344","-0.32"
"","Zat Knight","COL","2014","CB","342","-0.32"
"","Dave Romney","LAG","2016","FB","793","-0.32"
"","Maxim Tissot","MTL","2015","W","634","-0.33"
"","Kosuke Kimura","NYRB","2014","FB","966","-0.33"
"","Joe Mason","COL","2018","ST","833","-0.33"
"","Terrence Boyd","TOR","2019","ST","408","-0.34"
"","Thomas Roberts","FCD","2019","AM","267","-0.34"
"","A.J. DeLaGarza","LAG","2016","FB","2234","-0.34"
"","Seth Sinovic","SKC","2015","FB","966","-0.35"
"","Sunny","RSL","2016","CM","1189","-0.35"
"","Oniel Fisher","SEA","2016","FB","261","-0.36"
"","Axel Sjöberg","COL","2016","CB","2980","-0.36"
"","Vadim Demidov","MIN","2017","CB","288","-0.36"
"","Tyson Wahl","CLB","2013","FB","2322","-0.36"
"","Eric Alexander","CIN","2019","DM","355","-0.36"
"","Leonardo","LAG","2013","CB","1189","-0.37"
"","Robbie Russell","DCU","2013","CM","13","-0.38"
"","Ethan White","NYC","2016","FB","757","-0.38"
"","Nedum Onuoha","RSL","2018","CB","108","-0.38"
"","Dion Pereira","ATL","2019","W","772","-0.39"
"","Casey Townsend","DCU","2013","ST","360","-0.40"
"","Joshua Yaro","PHI","2017","CB","403","-0.40"
"","Rafael Gladiador","DCU","2013","ST","364","-0.41"
"","Collin Martin","MIN","2018","CM","597","-0.41"
"","Yannick Boli","COL","2018","ST","858","-0.45"
"","Ashtone Morgan","TOR","2018","FB","1108","-0.47"
"","Aaron Maund","RSL","2014","CB","462","-0.47"
"","Jeremy Hall","NER","2015","FB","1073","-0.47"
"","Carlos Gruezo","FCD","2019","DM","867","-0.49"
"","Mikey Lopez","SKC","2015","CM","514","-0.50"
"","Jámison Olave","RSL","2016","CB","1604","-0.52"
"","Kip Colvey","SJE","2016","FB","349","-0.52"
"","Kosuke Kimura","NYRB","2013","FB","1739","-0.55"
"","Michael Harrington","CHI","2016","FB","1385","-0.56"
"","Rashawn Dally","CIN","2019","ST","605","-0.57"
"","Dillon Serna","COL","2018","CM","1354","-0.59"
"","Bobby Burling","COL","2015","CB","2115","-0.60"
"","Steve Purdy","CHV","2013","CB","521","-0.61"
"","Sean Nealis","NYRB","2019","CB","525","-0.62"
"","Mathias Jørgensen","NYRB","2019","ST","147","-0.70"
"","Liam Fraser","TOR","2018","CM","660","-0.74"
"","Mike da Fonte","COL","2017","FB","1353","-0.80"
"","Eric Gehrig","CLB","2013","CB","581","-0.85"
"","Donny Toia","ORL","2018","FB","258","-0.89"
"","Jefferson Mena","NYC","2016","CB","1406","-0.90"
"","José Bizama","HOU","2019","FB","389","-0.94"
"","Miguel Ibarra","MIN","2019","W","1660","-1.08"
"","Shane O'Neill","COL","2013","CB","2372","-1.12"
"","Fabinho","PHI","2018","FB","770","-1.31"
